,article_link,article_title,publisher_id,widget_status,date_published,project_id1,project_id2,project_id3,project_id4,project_id5,project_id6,edited_by_publisher,edited_by_newspark
0,https://www.idsnews.com/article/2020/06/mccsc-letter-detailing-plan-to-combat-racism-in-local-schools,MCCSC sends letter detailing plan to combat racism in local schools,Indiana Daily Student,False,2020-08-08 00:00:00,26,5,14,,,,False,False
1,https://www.idsnews.com/article/2019/09/iu-swimming-coach-mike-westphal-fired,IU swimming coach Mike Westphal fired,Indiana Daily Student,False,2020-08-08 00:00:00,26,13,5,,,,False,False
2,https://www.idsnews.com/article/2020/06/iu-professors-voice-concerns-about-fall-semester-plan,‘I’m petrified’: IU professors voice concerns about fall semester plan,Indiana Daily Student,True,2020-08-08 00:00:00,5,2,9,,,,False,False
3,https://www.idsnews.com/article/2010/05/friends-and-family-remember-lanters-life,Friends and family remember Lanter’s life,Indiana Daily Student,False,2020-08-08 00:00:00,13,14,21,,,,False,False
4,https://www.idsnews.com/article/2020/08/iu-athletics-football-big-ten-ncaa-ticket-sales-covid-19,IU Athletics announces plan for 2020 football ticket sales and coronavirus requirements,Indiana Daily Student,True,2020-08-08 00:00:00,14,27,16,,,,False,False
5,https://www.idsnews.com/article/2020/05/monroe-county-public-library-online-summer-program,Monroe County Public Library offers online summer reading program for all ages,Indiana Daily Student,False,2020-08-08 00:00:00,26,21,5,,,,False,False
6,https://www.idsnews.com/article/2002/03/last-chance-starts-today,Last chance starts today,Indiana Daily Student,False,2020-08-08 00:00:00,5,14,12,,,,False,False
7,https://www.idsnews.com/article/2020/02/column-tiktok-is-ruining-music-and-my-life,COLUMN: TikTok is ruining music and my life,Indiana Daily Student,False,2020-08-08 00:00:00,11,26,21,,,,False,False
8,https://www.idsnews.com/article/2020/05/opinion-for-fall-2020-iu-should-follow-purdues-lead-on-hybrid-classes,"OPINION: For fall 2020, IU should follow Purdue's lead on hybrid classes",Indiana Daily Student,False,2020-08-08 00:00:00,26,10,14,,,,False,False
9,https://www.idsnews.com/article/2010/02/iu-to-feel-national-championship-vibe-at-tyson-invitational,IU to feel National Championship vibe at Tyson Invitational,Indiana Daily Student,False,2020-08-08 00:00:00,26,13,10,,,,False,False
10,https://www.idsnews.com/article/2008/03/drunkorexia,Drunkorexia?,Indiana Daily Student,False,2020-08-08 00:00:00,26,13,12,,,,False,False
11,https://www.idsnews.com/article/2016/11/can-you-get-pregnant-from-taking-a-bath,Can you get pregnant from taking a bath?,Indiana Daily Student,False,2020-08-08 00:00:00,3,13,5,,,,False,False
12,https://www.idsnews.com/article/2020/08/big-ten-conference-announces-revised-2020-football-schedule,Big Ten Conference announces revised 2020 football schedule,Indiana Daily Student,True,2020-08-08 00:00:00,27,15,5,,,,False,False
13,https://www.idsnews.com/article/2020/07/international-students-faced-with-a-terrible-decision-degrees-or-deportation,International students faced with 'a terrible decision': degrees or deportation,Indiana Daily Student,True,2020-08-08 00:00:00,15,9,2,,,,False,True
14,https://www.idsnews.com/article/2020/07/opinion-5-things-we-can-do-to-make-antiracism-a-more-enduring-part-of-white-life,OPINION: 5 things we can do to make antiracism a more enduring part of white life,Indiana Daily Student,True,2020-08-08 00:00:00,14,11,15,,,,False,False
15,https://www.idsnews.com/article/2020/07/theatre-drama-department-commits-to-change-over-lack-of-diversity-inclusion,"Backlash leads Department of Theatre, Drama and Contemporary Dance to commit to change",Indiana Daily Student,True,2020-08-08 00:00:00,13,5,10,,,,False,False
16,https://www.idsnews.com/article/2008/04/clinton-visits-iu,Clinton visits IU,Indiana Daily Student,False,2020-08-08 00:00:00,16,9,14,,,,False,False
17,https://www.idsnews.com/article/2007/01/big-bang-slipped-through-cracks,Big Bang slipped through cracks,Indiana Daily Student,False,2020-08-08 00:00:00,26,13,5,,,,False,False
18,https://www.idsnews.com/article/2015/08/new-vice-president-of-research-appointed,New vice president of research appointed,Indiana Daily Student,False,2020-08-08 00:00:00,26,21,10,,,,False,False
19,https://www.idsnews.com/article/2007/03/mashing-moshing-combine-in-chaotic-girl-talk-performance,"Mashing, moshing combine in chaotic Girl Talk performance
",Indiana Daily Student,False,2020-08-08 00:00:00,26,10,11,,,,False,False
20,https://www.idsnews.com/article/2005/09/drawing-unpopular-comparisons,Drawing unpopular comparisons,Indiana Daily Student,False,2020-08-08 00:00:00,2,11,21,,,,False,False
21,https://www.idsnews.com/article/2004/03/dancers-incorporate-many-artistic-elements,Dancers incorporate many artistic elements,Indiana Daily Student,False,2020-08-08 00:00:00,27,9,2,,,,False,False
22,https://www.idsnews.com/article/2010/02/ignore-the-idiots-5b9c3fc2a9cf6,Ignore the idiots,Indiana Daily Student,False,2020-08-08 00:00:00,2,27,12,,,,False,False
23,https://www.idsnews.com/article/2018/11/fourth-annual-community-arts-awards-to-take-place-saturday,Fourth annual Community Arts Awards to take place Saturday,Indiana Daily Student,False,2020-08-08 00:00:00,5,14,26,,,,False,False
24,https://www.idsnews.com/article/2002/09/finding-their-way-through-campus,Finding their way through campus,Indiana Daily Student,False,2020-08-08 00:00:00,5,5,13,,,,False,False
25,https://www.idsnews.com/article/2016/06/printmaking-mfa-rededicates-to-her-studio-practice,Printmaking MFA rededicates to her studio practice,Indiana Daily Student,False,2020-08-08 00:00:00,5,14,21,,,,False,False
26,https://www.idsnews.com/article/2011/02/kruzan-kicks-off-campaign-at-nicks,Kruzan kicks off campaign at Nick’s,Indiana Daily Student,False,2011-02-24 00:00:00,12,5,20,,,,False,False
27,https://www.idsnews.com/article/2020/06/iu-health-physician-gives-advice-about-staying-safe-while-exercising,IU Health physician gives advice about staying safe while exercising,Indiana Daily Student,True,2020-06-29 00:00:00,15,20,12,,,,False,False
28,https://www.idsnews.com/article/2019/03/bloomington-woman-arrested-after-driving-wrong-way-without-headlights-on,Bloomington woman arrested after driving wrong way without headlights on,Indiana Daily Student,False,2019-03-06 00:00:00,12,15,20,,,,False,False
29,https://www.idsnews.com/article/2017/10/dunn-cemetery-sits-on-ius-campus-quietly-but-speaks-of-history,Dunn Cemetery sits on IU's campus quietly but speaks of history,Indiana Daily Student,False,2017-10-30 00:00:00,29,12,10,,,,False,False
30,https://www.idsnews.com/article/2018/03/recent-documentary-brings-new-attention-to-1977-indianapolis-hostage-crisis,Recent documentary brings new attention to 1977 Indianapolis hostage crisis ,Indiana Daily Student,False,2018-03-27 00:00:00,20,15,29,,,,False,False
31,https://www.idsnews.com/article/2005/09/grays-dramatic-life-5b9c37b3e1de5,Gray's dramatic 'life',Indiana Daily Student,False,2005-09-21 00:00:00,12,20,3,,,,False,False
32,https://www.idsnews.com/article/2013/09/do-you-have-a-bucket-list-like-coach-holtz,Do you have a bucket list like Coach Holtz?,Indiana Daily Student,False,2013-09-24 00:00:00,20,12,29,,,,False,False
33,https://www.idsnews.com/article/2007/03/left-behind,Left behind,Indiana Daily Student,False,2007-03-09 00:00:00,12,3,29,,,,False,False
34,https://www.idsnews.com/article/2018/11/column-don-quixote-is-the-only-book-you-must-read,COLUMN: ‘Don Quixote’ is the only book you have to read,Indiana Daily Student,False,2018-11-13 00:00:00,20,12,5,,,,False,False
35,https://www.idsnews.com/article/2007/11/iu-student-killed-in-crash-saturday-morning,IU student killed in crash Saturday morning,Indiana Daily Student,False,2007-11-12 00:00:00,20,12,5,,,,False,False
36,https://www.idsnews.com/article/2020/07/iu-says-all-students-must-be-tested-for-covid-19-before-returning-to-campus,IU says all students must be tested for COVID-19 before returning to campus,Indiana Daily Student,True,2020-07-12 00:00:00,11,15,13,,,,False,False
37,https://www.idsnews.com/article/2019/09/bloomington-police-officers-raise-concerns-of-being-overworked-underpaid,"Bloomington police officers raise concerns of being overworked, underpaid",Indiana Daily Student,False,2019-09-18 00:00:00,21,20,5,,,,False,False
38,https://www.idsnews.com/article/2018/10/iu-student-loan-volume-continues-to-fall,IU student loan volume continues to fall,Indiana Daily Student,False,2018-10-22 00:00:00,5,12,20,,,,False,False
39,https://www.idsnews.com/article/2020/03/iu-president-mcrobbie-says-employees-will-continue-to-receive-full-normal-pay,IU President McRobbie says employees will continue to receive ‘full normal pay’,Indiana Daily Student,False,2020-03-23 00:00:00,20,15,29,,,,False,False
40,https://www.idsnews.com/article/2017/04/former-student-remembers-life-legacy-of-tibet-scholar-elliot-sperling,"Former student remembers life, legacy of Tibet scholar Elliot Sperling",Indiana Daily Student,False,2017-04-17 00:00:00,20,5,12,,,,False,False
41,https://www.idsnews.com/article/2017/04/column-swelling-after-masturbation-remains-for-four-months-after,COLUMN: Swelling after masturbation remains for four months after,Indiana Daily Student,False,2017-04-21 00:00:00,21,15,29,,,,False,False
42,https://www.idsnews.com/article/2020/04/opinion-covid-19-triage-makes-being-immunocompromised-even-more-stressful,OPINION: COVID-19 triage makes being immunocompromised even more stressful,Indiana Daily Student,False,2020-04-14 00:00:00,21,13,10,,,,False,False
43,https://www.idsnews.com/article/2017/11/casigmapi,Sigma Pi honors brother at mental illness awareness event,Indiana Daily Student,False,2017-11-06 00:00:00,20,15,5,,,,False,False
44,https://www.idsnews.com/article/2020/04/iu-students-navigate-summer-internships-remote-coronavirus,How IU is helping students navigate summer internships through COVID-19,Indiana Daily Student,False,2020-04-26 00:00:00,10,21,15,,,,False,False
45,https://www.idsnews.com/article/2018/09/students-frustrated-with-evolve-apartment-move-outs,Students frustrated with Evolve apartment move-outs,Indiana Daily Student,False,2018-09-23 00:00:00,21,13,11,,,,False,False
46,https://www.idsnews.com/article/2017/09/column-four-activities-to-make-it-feel-like-fall-has-arrived-in-bloomington,COLUMN: Four activities to make it feel like fall has arrived in Bloomington,Indiana Daily Student,False,2017-09-25 00:00:00,29,20,15,,,,False,False
47,https://www.idsnews.com/article/2019/02/jill-lees-excited-to-return-to-iu-take-on-iu-police-department-iupd-chief-role,"Jill Lees ‘excited’ to return to IU, take on IUPD chief role",Indiana Daily Student,False,2019-02-12 00:00:00,20,5,12,,,,False,False
48,https://www.idsnews.com/article/2018/01/indiana-lawmaker-proposes-ban-on-eyeball-tattoos,Indiana lawmaker proposes ban on eyeball tattoos,Indiana Daily Student,False,2018-01-29 00:00:00,15,20,10,,,,False,False
49,https://www.idsnews.com/article/2017/09/driverless-bus-comes-to-bloomington,Driverless bus comes to Bloomington,Indiana Daily Student,False,2017-09-29 00:00:00,12,29,20,,,,False,False
50,https://www.idsnews.com/article/2019/07/bob-knight-reportedly-moving-back-to-bloomington,Bob Knight reportedly moving back to Bloomington,Indiana Daily Student,False,2019-07-10 00:00:00,20,12,29,,,,False,False
51,https://www.idsnews.com/article/2003/04/new-sandlervehicle-ahead-on-collision,"New Sandler
vehicle a
head-on collision",Indiana Daily Student,False,2003-04-17 00:00:00,20,29,15,,,,False,False
52,https://www.idsnews.com/article/2012/01/promoter-plays-last-bishop-show,Promoter plays last Bishop show,Indiana Daily Student,False,2012-01-19 00:00:00,5,20,10,,,,False,False
53,https://www.idsnews.com/article/2020/06/brownsburg-man-arrested-for-stealing-over-100-wooden-pallets-from-rural-king,Brownsburg man arrested for stealing over 100 wooden pallets from Rural King,Indiana Daily Student,False,2020-06-16 00:00:00,3,15,20,,,,False,False
