Fund,organization_email
Racial Justice Fund,contact@rebuildingalliance.org
Racial Justice Fund,info@mniba.org
Coronavirus Relief Fund,info@atlascorps.org
Local Community Fund,amie@globalgirlmedia.org
Environmental Fund,katelyn.canaan@ntfb.org
Environmental Fund,trina@healthinharmony.org
Local Community Fund,info@sid-initiative.org
World Fund,srivyal@sphoorti.org
Racial Justice Fund,rexheitz@gmail.com
Coronavirus Relief Fund,advitausa@gmail.com
Local Community Fund,acrutcher@bluestarfam.org
Local Community Fund,info@weareneutral.com
World Fund,sylvester@developafrica.org
Local Community Fund,gf@petsofthehomeless.org
Local Community Fund,sherrie@monroeunitedway.org
Environmental Fund,pantry279@yahoo.com
Environmental Fund,greg@indianaforestalliance.org
Coronavirus Relief Fund,jsherlip@trustedworld.org
Local Community Fund,amy@popsclubs.org
Local Community Fund,caragh.corcoran@genyouthnow.org
Local Community Fund,jill.roberts@deaeducationalfoundation.org
Local Community Fund,adamjohnston@nationalguild.org
Environmental Fund,karisa@oceanblueproject.org
Environmental Fund,info@wildcareinc.org
Local Community Fund,felix@arts-for-all.org
Racial Justice Fund,amelia@somoafrica.org
Environmental Fund,cparsons@foodbanking.org
Local Community Fund,services@artisanalley.com
World Fund,tomleeosborn@gmail.com
Local Community Fund,aharrison@bgcindy.org
Local Community Fund,nicole.rodriguez@timmyglobalhealth.org
Racial Justice Fund,roland@americanindianservices.org
World Fund,stella@thancfoundation.org
Local Community Fund,nelson.hellwig@actscorp.org
Environmental Fund,ciara@uprootcolorado.org
Local Community Fund,anaghakumar@college.harvard.edu
Local Community Fund,lejla@bosanafoundation.org
Local Community Fund,jhenderson@etmla.org
Local Community Fund,erin@fullradiusdance.org
Racial Justice Fund,blacklivesmatterbtown@gmail.com
Local Community Fund,hvelcoff@furniturebankatlanta.org
